,School Name,School Size,Town Name,Postal Code,Applied EQAO Grades,Academic EQAO Grades,,,0.45542153,0.804139715
219,Woodstock CI,516,Woodstock,N4S 6L9,0.35,0.65,,,,
220,Avondale Elementary &amp; Secondary Alt. S,43,North York,M2M 2B3,0.36,0.89,,,,
221,A Y Jackson SS,"1,064",North York,M2H 2G6,0.53,0.92,,,,
222,City Adult Learning Centre (CALC) SS,N/D,Toronto,M4K 1M8,,,,,,
223,Agincourt CI,"1,238",Agincourt,M1S 1R6,0.4,0.89,,,,
224,Albert Campbell CI,"1,232",Scarborough,M1V 1S6,0.33,0.84,,,,
225,Alternative Scarborough Education 1,143,Scarborough,M1P 3Z1,,,,,,
226,Delphi Secondary Alternative School,119,Scarborough,M1S 2R7,0.42,0.67,,,,
227,Bendale B &amp; TI,,Scarborough,M1P 3C1,0.13,0.41,,,,
228,Birchmount Park CI,858,Scarborough,M1N 2G2,0.22,0.63,,,,
229,Bloor CI,779,Toronto,M6H 1M9,0.38,0.86,,,,
230,Burnhamthorpe Collegiate Institute,395,Toronto,M9B 2C4,,,,,,
231,C W Jefferys CI,731,North York,M3J 1T9,0.64,0.7,,,,
232,Rosedale Heights School of the Arts,"1,050",Toronto,M4W 1J4,0.53,0.82,,,,
233,Cedarbrae CI,"1,153",Toronto,M1H 2A2,0.21,0.49,,,,
234,Central Toronto Academy,531,Toronto,M6G 3L6,0.14,0.65,,,,
235,SPES SE,N/D,Scarborough,M1K 4C9,,,,,,
236,Central TS,"1,153",Toronto,M5S 2R5,0.09,0.31,,,,
237,City School,120,Toronto,M5V 3G3,0.12,0.77,,,,
238,Contact S,172,Toronto,M5T 1V1,,,,,,
239,Danforth CI &amp; TS,924,Toronto,M4J 4B7,0.15,0.84,,,,
240,David &amp; Mary Thomson CI,987,Scarborough,M1P 0E1,0.2,0.58,,,,
241,Don Mills CI,"1,059",North York,M3C 1X6,0.29,0.86,,,,
242,Don Valley JHS,N/D,North York,M2J 3C3,,,,,,
243,Downsview SS,587,North York,M3K 1W3,0.31,0.5,,,,
244,Earl Haig SS,"2,003",North York,M2N 3R7,0.32,0.93,,,,
245,East York CI,983,Toronto,M4C 2V2,0.25,0.76,,,,
246,The East York Alternative HS,118,East York,M4C 2V2,,,,,,
247,Eastdale CI,123,Toronto,M4M 1Y4,,,,,,
248,Eastern Commerce Collegiate Institute,N/D,Toronto,M4J 3T2,,,,,,
